n,author,title,editorial,pages,genre,subgenre,code
351,PABLO NERUDA,RESIDENCIA EN LA TIERRA,RANDOM HOUSE MONDADORI,144,POESÍA,,BL1451
352,SÓFOCLES,ELECTRA,OLIMPO,88,TEATRO,,BL1452
353,D. DEL OLMO,NAPOLEÓN,RAMÓN SOPENA,180,NOVELA,,BL1453
354,FERNANDO KLEIN,CUANDO DIOS ERA MUJER,ARCOPRESS,150,ENSAYOS,,BL1454
355,PENNY HANCOCK,A LOVE FOR LIFE,CAMBRIDGE UNIVERSITY PRESS,112,NOVELA INGLÉS,,BL1455
356,MARÍA LUISA BOMBAL,LA AMORTAJADA,UNIVERSITARIA,96,NOVELA,,BL1456
357,HORACIO QUIROGA,"CUENTOS DE AMOR, LOCURA Y MUERTE",COLICHEUQUE,80,CLÁSICOS Y CUENTOS,,BL1457
358,ENRIQUE LAFOURCADE,PALOMITA BLANCA,ERCILLA,139,JUVENIL,,BL1458
359,OSCAR WILDE,LA IMPORTANCIA DE LLAMARSE ERNESTO,ANDRÉS BELLO,175,TEATRO,,BL1459
360,ISAAC ASIMOV,EL HOMBRE BICENTENARIO Y OTROS CUENTOS,EDICIONES B,476,NOVELA,,BL1460
361,DAVID BYRNE,DIARIOS DE BICICLETA,RANDOM HOUSE MONDADORI,362,BIOGRAFÍAS Y TESTIMONIOS,,BL1461
