"n","author","title","editorial","pages","genre","subgenre","code"
"","PIERRE KOHLER","LA METEOROLOGÍA, EL TIEMPO Y LAS ESTACIONES","EDICIONES SM","71","EDUCACIÓN","","BL1554"
"","CHARLES DICKENS","OLIVER TWIST","COLICHEUQUE","80","CLÁSICOS Y CUENTOS","","BL1555"
"","JEROME DAVID SALINGER","EL GUARDÍAN ENTRE EL CENTENO","EDHASA","274","NOVELA","","BL1556"
"","JOHN KENNETH GALBRAITH","EL DINERO","EDICIONES ORBIS","362","ENSAYOS","","BL1557"
"","PABLO HUNEEUS","LA CULTURA HUACHACA","EDITORA NUEVA GENERACIÓN","160","ENSAYOS","","BL1558"
"","GEORGE ORWELL","LA GRANJA DE LOS ANIMALES","COLICHEUQUE","79","NOVELA","","BL1559"
"","JOSÉ LUIS ROSASCO","FRANCISCA YO TE AMO","PLANETA","140","NOVELA","","BL1560"
"","EDGAR ALLAN POE","NARRACIONES EXTRAORDINARIAS","ZIG-ZAG","116","CLÁSICOS Y CUENTOS","","BL1561"
"","CARE SANTOS","INSEPARABLES PARA SIEMPRE: PROHIBIDO ENAMORARSE","EDICIONES B","171","JUVENIL","","BL1562"
"","WILLIAM SHAKESPEARE","OTELO","OLIMPO","124","TEATRO","","BL1563"
"","VARIOS AUTORES","REPÚBLICA DE CHILE: CÓDIGO DE PROCEDIMIENTO PENAL","EDITORIAL JURÍDICA DE CHILE","274","POLÍTICA","","BL1564"
"","ROBERTO AMPUERO","EL ALEMÁN DE ATACAMA","EDISUR","221","NOVELA","","BL1565"
"","ISABEL ALLENDE","LA CIUDAD DE LAS BESTIAS","RANDOM HOUSE MONDADORI","295","NOVELA","","BL1566"
"","DAN BROWN","EL CÓDIGO DA VINCI","UMBRIEL","557","NOVELA","","BL1567"
"","MIJAIL BAKUNIN","DIOS Y EL ESTADO","TERRAMAR","139","ENSAYOS","","BL1568"
"","ENRIQUETA BEECHER","LA CABAÑA DEL TÍO TOM","ZIG-ZAG","143","NOVELA","","BL1569"
"","MAGDALENA PETIT","LA QUINTRALA","ZIG-ZAG","158","JUVENIL","","BL1570"
"","JACK LONDON","COLMILLO BLANCO","COLICHEUQUE","80","CLÁSICOS Y CUENTOS","","BL1571"
"","ERIC WILSON","ASESINATO EN EL CANADIAN EXPRESS","EDICIONES SM","159","JUVENIL","","BL1572"
"","ISABEL ALLENDE","INÉS DEL ALMA MÍA","RANDOM HOUSE MONDADORI","346","NOVELA","PRESTADO TOMASA AURORA SALAS","BL1573"
"","VARIOS AUTORES","MI PRIMER CUENTO","COLEGIO SANTA VICTORIA/REVISTA CON TACTO","38","CLÁSICOS Y CUENTOS","","BL1574"
"","ALBERT CAMUS","EL EXTRANJERO","CENTRO GRÁFICO","107","NOVELA","","BL1575"
"","MARK TWAIN","EL PRÍNCIPE Y EL MENDIGO","COLICHEUQUE","79","CLÁSICOS Y CUENTOS","","BL1576"
"","VARIOS AUTORES","SAFO","RANDOM HOUSE MONDADORI","67","POESÍA","","BL1577"
"","ROALD DAHL","EL SUPERZORRO","ALFAGUARA","161","INFANTIL","","BL1578"
"","ROALD DAHL","MATILDA","ALFAGUARA","230","JUVENIL","","BL1579"
"","MARCELA PAZ/ALICIA MOREL","PERICO TREPA POR CHILE","UNIVERSITARIA","183","INFANTIL","","BL1580"
"","ANDREA MATURANA","EL DAÑO","ALFAGUARA","230","NOVELA","","BL1581"
"","ALEJANDRO MAGNET","LA ESPADA Y EL CANELO","ZIG-ZAG","140","JUVENIL","","BL1582"
"","VÍCTOR CARVAJAL","CHIPANA","EDICIONES SM","124","INFANTIL","","BL1583"
"","LOUISA MAY ALCOTT","HOMBRECITOS","ZIG-ZAG","139","CLÁSICOS Y CUENTOS","","BL1584"
"","VARIOS AUTORES","CUENTOS LATINOAMERICANOS: ANTOLOGÍA","ALFAGUARA","134","CLÁSICOS Y CUENTOS","","BL1585"
"","WILLIAM GOLDING","EL SEÑOR DE LAS MOSCAS","TAIMÍ EDICIONES","230","NOVELA","","BL1586"
"","FRANCISCO COLOANE","EL ÚLTIMO GRUMETE DE LA BAQUEDANO","ZIG-ZAG","105","CLÁSICOS Y CUENTOS","","BL1587"
"","GUSTAVE FLAUBERT","MADAME BOVARY","ZIG-ZAG","371","CLÁSICOS Y CUENTOS","","BL1588"
"","VARIOS AUTORES","MI PRIMER CUENTO","COLEGIO SANTA VICTORIA/REVISTA CON TACTO","38","CLÁSICOS Y CUENTOS","","BL1589"
"","HORACIO QUIROGA","CUENTOS DE AMOR, LOCURA Y MUERTE","OLIMPO","132","CLÁSICOS Y CUENTOS","","BL1590"
"","PILAR MOLINA LLORENTE","EL LARGO VERANO DE EUGENIA MESTRE","ANAYA","123","INFANTIL","","BL1591"
"","RUDYARD KIPLING","CAPITANES INTRÉPIDOS","PUBLICACIONES LO CASTILLO","127","CLÁSICOS Y CUENTOS","","BL1592"
"","JOSÉ ECHEGARAY","EL GRAN GALEOTO/EN EL PUÑO DE LA ESPADA","ORBIS","287","TEATRO","","BL1593"
"","JERZY KOSINSKI","DESDE EL JARDÍN","POMAIRE","177","NOVELA","","BL1594"
"","JOSÉ LUIS ROSASCO","EL METROGOLDIN","ANDRÉS BELLO","164","INFANTIL","","BL1595"
"","ROALD DAHL","EL SUPERZORRO","ALFAGUARA","161","INFANTIL","","BL1596"
"","CARLOS FRANZ","EL LUGAR DONDE ESTUVO EL PARAÍSO","SANTILLANA","226","NOVELA","","BL1597"
